Serial,Lon,Lat,Code
PI040298AD5J215142,-7.923,54.98,5tjrqt1c
PI040298AD5J215095,-7.968,54.964,fqzb9jsq
PI040298AD5J214214,-7.922,54.979,mqe06kvv
PI040298AD5J214635,-7.924,54.981,xw97j79a
PI040298AD5G203425,-7.924,54.98,fzja2fbn
PI040297AD5I205461,-2.88,56.639,qv71bqpk
PI040297AD5I203550,-2.881,56.639,vz0587gv
PI040297AD5I210109,-3.234,56.572,pgr59nte
PI040297AD5I207079,-3.233,56.573,km5mg7g1
PI040297AD5I207232,-3.213,55.729,ds5tv3jd
PI040297AD5I209754,-3.542,56.752,m55057am
PI040297AD5I206301,-3.542,56.752,0gzbnyhs
PI040297AD5I206274,-3.542,56.752,m2dmyswf
PI040297AD5I208430,-3.542,56.752,1zh4hdzr
PI040297AD5I209955,-4.24,55.812,wy1zkq3g
PI040297AD5I206557,-4.24,55.811,60524ca5
PI040297AD5I206501,-2.887,56.472,02krq5q5
PI040298AD5I213211,-7.319,52.346,g5j5w8gq
PI040298AD5I211450,-7.969,54.964,9aaqtyqg
PI040298AD5I209486,-7.968,54.964,bz68t8by
PI040298AD5I205921,-7.969,54.964,b6d18x56
PI040298AD5I205919,-7.968,54.964,pst4tp2q
PI040298AD5I212933,-7.969,54.964,b91y5ta3
PI040298AD5I209490,-7.968,54.964,qew9g7ya
PI040298AD5J214754,-7.969,54.964,2nfj9qgr
PI040298AD5I206230,-7.968,54.964,bgh5f2t4
PI040297AD5J210774,-1.934,53.443,y09h8hsh
PI040297AD5J210685,-1.933,53.444,rcqe7rwr
PI040297AD5J210746,-1.933,53.444,06d7mhex
PI040297AD5J210354,-1.933,53.444,1rwp4k9w
PI040297AD5J210384,-0.135,51.495,48nws5xr
PI040297AA3L024781,-3.221,55.827,m65ex1jn
PI040298AD5J214264,-7.071,52.252,3mza6wr1
PI040297AD5I206516,-3.174,56.532,4ksnqgcd
PI040297AD5I207763,-3.173,56.532,5mstxh58
PI040297AD5I210126,-3.174,56.532,79x5h1ww
PI040297AD5I210018,-3.172,56.535,amcnrmdc
PI040297AD5I210053,-3.173,56.534,w3xaq340
PI040297AD5I206136,-3.176,56.532,kbbkhfq9
PI040297AD5I206576,-3.173,56.534,dx49z6hd
PI040297AD5I209621,-3.173,56.535,qwyhbdw9
PI040298AD5I211752,-7.116,52.275,1z7wsywm
PI040298AD5I207313,-7.097,52.252,mnarpyf7
PI040298AD5J214511,-7.986,55.076,gfn07e9r
PI040298AD5J214628,-7.986,55.076,wbyh0d5v
PI040298AD5J214897,-7.986,55.076,a27sjbe1
PI040298AD5J214877,-8.135,55.142,zee94w96
PI040298AD5J214467,-7.986,55.076,776mdjqd
PI040298AD5J214547,-7.986,55.076,wv1yrr1r
PI040298AD5J214255,-7.986,55.076,v5rnd29g
PI040298AD5J214712,-8.135,55.142,764es98a
PI040298AD5J215015,-7.986,55.076,fz27dsyh
PI040298AD5J214739,-8.14,55.124,g9qq9ccm
PI040298AD5J214713,-7.348,52.361,txrwsx68
PI040298AD5I213060,-7.283,52.328,pa2f1d32
PI040298AD5I213693,-2.595,56.559,wf2kqxp2
PI040297AD5I207062,-3.249,56.553,ct5ygbqb
PI040298AD5I212262,-2.594,56.559,mp11ax65
PI040298AD5I211538,-2.777,56.713,33rx1e84
PI040298AD5J215092,-2.765,56.728,hvy603qp
PI040298AD5I206094,-2.779,56.714,e0ejwk3f
PI040298AD5J215016,-2.765,56.728,57xbhbgj
PI040298AD5I211594,-2.779,56.714,z64z24g7
PI040298AD5I208714,-2.78,56.713,f58vv68k
PI040298AD5I208735,-2.766,56.73,8wveae08
PI040298AD5J215133,-2.766,56.73,epqwge1a
PI040298AD5I208460,-2.766,56.73,vfj7gggz
PI040298AD5I208719,-2.778,56.713,j22xc35a
PI040298AD5J214292,-2.765,56.729,9qr373h3
PI040298AD5I211592,-2.779,56.712,neg1jnx9
PI040298AD5I208774,-2.779,56.713,9g9j09gs
PI040298AD5I207543,-2.78,56.714,ejreq6w3
PI040298AD5I208095,-2.778,56.713,9wsv5zrk
PI040298AD5J214425,-2.765,56.729,0x3sp2wn
PI040298AD5J215104,-2.765,56.728,w17rzv9e
PI040298AD5I207411,-2.778,56.713,5xd9vvkj
PI040298AD5I213834,-7.187,52.252,ta8f2298
PI040298AD5J214880,-7.185,52.254,7m5v988p
PI040298AD5J214638,-7.187,52.252,96vq46b0
PI040298AD5I208190,-2.595,56.558,7eqwh71s
PI040297AA3L026081,-2.236,53.485,p2a1mtve
PI040297AA4C038594,-3.88,56.265,9ay4ejtz
PI040297AA3L024870,-0.032,51.44,vh1tsjhq
PI040297AD5I209981,-2.976,56.457,h3artq9r
PI040298AD5I205652,-7.97,54.965,rrwhdey2
PI040298AD5J214257,-7.97,54.965,w8j350vy
PI040298AD5J214272,-7.97,54.965,hmg2kftv
PI040298AD5J215125,-7.969,54.965,95qqf1qz
PI040298AD5J214799,-7.972,54.966,emqv9amk
PI040298AD5J214296,-7.971,54.966,ftbfb9a2
PI040298AD5J214461,-7.97,54.964,775gpwm5
PI040298AD5J214805,-7.972,54.965,qkkwr4n5
PI040298AD5I212329,-7.971,54.965,ezg7qmt6
PI040298AD5J214726,-7.971,54.966,cjefh7c5
PI040298AD5J214872,-7.973,54.966,7baxe670
PI040298AD5J214810,-8.266,55.105,scz4bmje
PI040298AD5J214678,-8.266,55.105,bvjbdzgn
PI040297AD5J210742,-2.992,56.456,yaemkqdx
PI040297AD5I205907,-3.276,56.546,gzhasvy9
PI040297AD5I207034,-3.276,56.545,fjsjtvdm
PI040298AD5I211343,-7.706,55.001,ypys65tb
PI040298AD5I209196,-7.707,55.0,1d3zd8mt
PI040298AD5I212559,-7.668,54.858,qshrebpv
PI040298AD5I210578,-7.73,54.961,ry909kkn
